idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
32,False,True,False,0,9,"[1, 0]",,,
33,True,True,True,2,2,"[2, 0]",,left left,left left
34,True,True,True,3,3,"[1, 2]",,down left left,down left left
35,True,True,True,3,3,"[1, 4]",,right right down,right right down
36,True,True,True,3,3,"[2, 5]",,right right up,right right up
37,True,True,True,4,4,"[0, 2]",,up up up up,up up up up
38,True,True,True,5,5,"[3, 3]",,left left left up up,left left left up up
39,False,True,False,0,9,"[6, 1]",,,
40,False,True,False,0,9,"[6, 0]",,,
41,True,True,True,5,5,"[5, 2]",,down right down down right,down right down down right
42,True,True,True,9,9,"[0, 3]",,up up up up up up right right right,up up up up up up right right right
43,False,True,False,0,9,"[0, 5]",,,
44,True,True,True,4,4,"[4, 6]",,down down down down,down down down down
45,True,True,True,1,1,"[5, 5]",,right,right
46,False,True,False,0,9,"[5, 5]",,,
47,False,True,False,0,10,"[6, 5]",,,
48,True,True,True,4,4,"[2, 4]",,right right right right,right right right right
49,True,True,True,6,6,"[1, 2]",,up up up up left left,up up up up left left
50,True,True,True,2,2,"[4, 4]",,left left,left left
51,True,True,True,1,1,"[4, 5]",,up,up
52,True,True,True,5,5,"[0, 0]",,up left up up up,up left up up up
53,True,True,True,6,6,"[0, 6]",,up right right right right right,up right right right right right
54,True,True,True,9,9,"[0, 6]",,up up up right right right right right right,up up up right right right right right right
55,False,True,False,0,10,"[5, 5]",,,
56,False,True,False,0,9,"[0, 2]",,,
57,True,True,True,11,11,"[0, 5]",,up up up up up up right right right right right,up up up up up up right right right right right
58,False,True,False,0,7,"[6, 3]",,,
59,True,True,True,6,6,"[2, 5]",,right right right right up up,right right right right up up
60,True,True,True,5,5,"[0, 1]",,up up left left left,up up left left left
61,True,True,True,1,1,"[2, 0]",,up,up
62,True,True,True,5,5,"[2, 3]",,up up up up right,up up up up right
63,True,True,True,5,5,"[3, 6]",,up right right right right,up right right right right
64,False,True,False,0,10,"[6, 0]",,,
65,False,True,False,0,12,"[0, 6]",,,
66,False,True,False,0,7,"[5, 6]",,,
67,False,True,False,0,12,"[6, 6]",,,
68,False,True,False,0,7,"[0, 3]",,,
69,True,True,True,9,9,"[6, 1]",,down down down down left left left left left,down down down down left left left left left
70,True,True,True,5,5,"[5, 3]",,right right right down down,right right right down down
71,True,True,True,8,8,"[2, 6]",,right right right right right right up up,right right right right right right up up
72,True,True,True,10,10,"[6, 4]",,down down down down down down right right right right,down down down down down down right right right right
73,True,True,True,1,1,"[4, 0]",,down,down
74,True,True,True,5,5,"[1, 0]",,left left left left up,left left left left up
75,True,True,True,5,5,"[1, 0]",,up up left left left,up up left left left
76,False,True,False,0,9,"[6, 0]",,,
77,True,True,True,9,9,"[2, 1]",,up up up up left left left left left,up up up up left left left left left
78,True,True,True,2,2,"[0, 4]",,up right,up right
79,True,True,True,5,5,"[1, 0]",,left left left left down,left left left left down
80,False,True,False,0,9,"[5, 4]",,,
81,True,True,True,4,4,"[0, 1]",,up up up right,up up up right
82,True,True,True,4,4,"[1, 0]",,up up up up,up up up up
83,True,True,True,5,5,"[3, 2]",,up up left left left,up up left left left
84,True,True,True,4,4,"[1, 1]",,up left left left,up left left left
85,False,True,False,0,9,"[6, 6]",,,
86,True,True,True,8,8,"[3, 6]",,up up right right right right right right,up up right right right right right right
87,True,True,True,2,2,"[6, 4]",,right right,right right
88,False,True,False,0,10,"[5, 6]",,,
89,True,True,True,5,5,"[5, 5]",,down down down right right,down down down right right
90,True,True,True,7,7,"[4, 0]",,left left left down down down down,left left left down down down down
91,True,True,True,3,3,"[1, 5]",,right right down,right right down
92,True,True,True,7,7,"[3, 5]",,down down right right right right right,down down right right right right right
93,True,True,True,7,7,"[2, 1]",,up up up left left left left,up up up left left left left
94,True,True,True,5,5,"[6, 5]",,right right right right right,right right right right right
95,True,True,True,4,4,"[1, 2]",,up up left left,up up left left
96,False,True,False,0,10,"[1, 5]",,,
97,False,True,False,0,9,"[5, 0]",,,
98,False,True,False,0,11,"[0, 0]",,,
99,False,True,False,0,10,"[6, 1]",,,
