idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
88,True,True,True,5,5,"[3, 0]",,left left left down down,left left left down down 
89,True,True,True,2,2,"[1, 0]",,left left,left left 
90,True,True,True,5,5,"[1, 4]",,up up right right right,up up right right right 
91,True,True,True,6,6,"[2, 0]",,left left left left down down,left left left left down down 
92,True,True,True,1,1,"[4, 2]",,down,down 
93,False,True,False,5,6,"[3, 2]",,right right down down down,right right down down down 
94,True,True,True,5,5,"[0, 1]",,up up up left left,up up up left left 
95,True,True,True,5,5,"[4, 0]",,left down down left down,left down down left down 
96,True,True,True,7,7,"[4, 4]",,right right right right down down down,right right right right down down down 
97,True,True,True,5,5,"[1, 4]",,right up up up right,right up up up right 
98,False,False,False,6,6,"[2, 3]",obstacle,up right right right up right,up right right right up right 
99,True,True,True,3,3,"[4, 0]",,left down left,left down left 
