idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
57,False,False,False,6,5,"[2, 5]",obstacle,up left up up right right,up left up up right right 
58,False,False,False,5,5,"[2, 0]",obstacle,right down down right right,right down down right right 
59,False,False,False,8,6,"[3, 2]",obstacle,right down down right right down down left,right down down right right down down left 
60,False,False,False,7,9,"[1, 4]",obstacle,right down down down right down down,right down down down right down down 
61,False,False,False,6,9,"[1, 5]",out_of_bounds,right down right down down right,right down right down down right 
62,False,False,False,6,5,"[4, 5]",obstacle,up up left right right right,up up left right right right 
63,False,False,False,3,2,"[0, 3]",obstacle,up up left,up up left 
64,False,False,False,5,3,"[2, 1]",obstacle,down left left left down,down left left left down 
65,False,False,False,6,9,"[4, 3]",obstacle,up up up up right right,up up up up right right 
66,False,False,False,7,10,"[5, 2]",obstacle,right up up up left left left,right up up up left left left 
67,False,False,False,7,8,"[3, 2]",obstacle,right right down down down left down,right right down down down left down 
68,False,False,False,6,5,"[1, 4]",obstacle,up up up right right right,up up up right right right 
69,False,False,False,6,9,"[1, 0]",out_of_bounds,up up up left left left,up up up left left left 
70,False,False,False,0,15,"[2, 5]",invalid_action,,Goal not reachable
71,False,False,False,7,10,"[4, 4]",obstacle,up up up up left left left,up up up up left left left 
72,False,False,False,4,5,"[3, 2]",obstacle,right right down down,right right down down 
73,False,False,False,4,9,"[4, 3]",obstacle,right up up up,right up up up 
74,False,False,False,6,9,"[2, 5]",out_of_bounds,up up up right right down,up up up right right down 
75,False,False,False,4,2,"[2, 0]",obstacle,up right right up,up right right up 
76,False,False,False,7,7,"[5, 0]",obstacle,up right right up up up right,up right right up up up right 
77,False,False,False,7,5,"[0, 5]",out_of_bounds,right right down down down left down,right right down down down left down 
78,False,False,False,7,5,"[1, 4]",obstacle,up up up up right right up,up up up up right right up 
79,False,True,False,6,7,"[0, 3]",,up up up up left left,up up up up left left 
80,False,False,False,7,4,"[4, 4]",obstacle,up right right up up right down,up right right up up right down 
81,False,False,False,7,13,"[4, 3]",obstacle,up up up left left up left,up up up left left up left 
82,False,False,False,7,2,"[3, 5]",out_of_bounds,right right right down right down down,right right right down right down down 
83,False,False,False,7,10,"[1, 5]",obstacle,left up up up left left down,left up up up left left down 
84,False,False,False,7,5,"[3, 4]",obstacle,up up left up up left left,up up left up up left left 
85,False,False,False,6,9,"[4, 5]",obstacle,up up left up left left,up up left up left left 
86,False,False,False,4,8,"[2, 5]",obstacle,up up right right,up up right right 
87,False,False,False,6,7,"[0, 5]",out_of_bounds,right right up up up right,right right up up up right 
88,False,True,False,6,3,"[1, 3]",,up up up left up left,up up up left up left 
89,False,False,False,8,1,"[2, 5]",out_of_bounds,up up up right up right right right,up up up right up right right right 
90,False,False,False,6,9,"[2, 5]",obstacle,left up up left left left,left up up left left left 
91,False,False,False,7,9,"[1, 5]",obstacle,up left left left down down left,up left left left down down left 
92,False,False,False,6,9,"[2, 5]",obstacle,left up up left left left,left up up left left left 
93,False,False,False,5,10,"[4, 5]",obstacle,up up left up right,up up left up right 
94,False,False,False,7,8,"[0, 5]",out_of_bounds,right right down down down left down,right right down down down left down 
95,False,False,False,5,1,"[1, 0]",out_of_bounds,left left up left left,left left up left left 
96,False,False,False,7,5,"[1, 4]",obstacle,up right right right down down down,up right right right down down down 
97,False,False,False,0,6,"[0, 4]",invalid_action,,Goal not reachable
98,False,False,False,7,5,"[0, 1]",obstacle,left left down down down left down,left left down down down left down 
99,False,False,False,8,3,"[0, 4]",obstacle,right right right down down down right down,right right right down down down right down 
