idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
61,False,True,False,11,1,"[0, 0]",,up up up down down down down up up up up,up up up down down down down up up up up
62,False,True,False,0,5,"[6, 2]",,,
63,False,True,False,0,5,"[4, 2]",,,
64,False,True,False,2,10,"[5, 1]",,up right,up right
65,False,True,False,0,12,"[0, 6]",,,
66,False,True,False,0,7,"[5, 6]",,,
67,False,True,False,0,12,"[6, 6]",,,
68,False,True,False,0,7,"[0, 3]",,,
69,False,True,False,0,9,"[2, 6]",,,
70,False,True,False,7,5,"[6, 4]",,down right down down right right right,down right down down right right right
71,False,True,False,0,8,"[4, 0]",,,
72,False,True,False,0,10,"[0, 0]",,,
73,True,True,True,1,1,"[4, 0]",,down,down
74,False,True,False,0,5,"[2, 4]",,,
75,False,True,False,0,5,"[3, 3]",,,
76,False,True,False,0,9,"[6, 0]",,,
77,False,True,False,0,9,"[6, 6]",,,
78,True,True,True,2,2,"[0, 4]",,up right,up right
79,True,True,True,5,5,"[1, 0]",,down left left left left,down left left left left
80,False,True,False,0,9,"[5, 4]",,,
81,False,True,False,10,4,"[0, 3]",,up right up right up left left right right right,up right up right up left left right right right
82,False,True,False,11,4,"[0, 0]",,up up up up up down down down up up up,up up up up up down down down up up up
83,False,True,False,0,5,"[5, 5]",,,
84,False,True,False,4,4,"[0, 2]",,up left up left,up left up left
85,False,True,False,0,9,"[6, 6]",,,
86,False,True,False,0,8,"[5, 0]",,,
87,True,True,True,2,2,"[6, 4]",,right right,right right
88,False,True,False,0,10,"[5, 6]",,,
89,False,True,False,12,5,"[3, 6]",,down right left down right down down up right up right up,down right left down right down down up right up right up
90,True,True,True,7,7,"[4, 0]",,left left left down down down down,left left left down down down down
91,False,True,False,9,3,"[0, 4]",,down right right right down up left up left,down right right right down up left up left
92,False,True,False,0,7,"[1, 0]",,,
93,False,True,False,0,7,"[5, 5]",,,
94,False,True,False,12,5,"[6, 6]",,right right right right right right left left left right right right,right right right right right right left left left right right right
95,False,True,False,0,4,"[3, 4]",,,
96,False,True,False,0,10,"[1, 5]",,,
97,False,True,False,0,9,"[5, 0]",,,
98,False,True,False,0,11,"[0, 0]",,,
99,False,True,False,0,10,"[6, 1]",,,
